"ACCIDENT_NO","NODE_ID","COMPLEX_INT_NO"
"T20100004116","169","9602"
"T20100004120","29726","6880"
"T20100004185","35320","7284"
"T20100004223","52494","1024"
"T20100004227","29887","1002"
"T20100004241","58068","103142"
"T20100004298","15202","3092"
"T20100004334","41935","6026"
"T20100004351","48468","5547"
"T20100004382","230235","6146"
"T20100004469","46502","5511"
"T20100004500","1318","9275"
"T20100004549","29748","7033"
"T20100004554","38320","101009"
"T20100004565","36041","9432"
"T20100004595","42812","6650"
"T20100004618","29421","8877"
"T20100004629","44345","9925"
"T20100004634","41712","6313"
"T20100004749","868","6801"
"T20100004767","47153","6625"
"T20100004770","323","102169"
"T20100004810","56155","1253"
"T20100004828","41882","6149"
"T20100004840","607","5584"
"T20100004860","277121","8583"
"T20100004907","36548","6931"
"T20100004938","726","5990"
"T20100004955","627","5612"
"T20100005025","41787","6328"
"T20100005050","37155","9936"
"T20100005144","35262","7730"
"T20100005276","40787","9228"
"T20100005288","39400","8966"
"T20100005476","40924","5677"
"T20100005497","40145","8984"
"T20100005523","33879","1002"
"T20100005560","232947","9318"
"T20100005567","67377","5798"
"T20100005649","40384","5598"
"T20100005678","233217","4004"
"T20100005731","230532","2329"
"T20100005737","726","5990"
"T20100005739","323","102169"
"T20100005747","44365","103325"
"T20100005860","29421","8877"
"T20100005887","191416","6884"
"T20100005889","37750","5765"
"T20100005954","231467","7103"
"T20100005974","43629","7016"
"T20100006112","38419","5222"
"T20100006125","29735","7223"
"T20100006130","230680","8917"
"T20100006191","46908","9427"
"T20100006196","1248","8830"
"T20100006254","55175","4336"
"T20100006272","43691","8548"
"T20100006282","57661","7800"
"T20100006303","531","1015"
"T20100006310","43855","7123"
"T20100006328","44222","8634"
"T20100006353","43436","7308"
"T20100006355","45937","5427"
"T20100006452","36212","6844"
"T20100006456","35622","6668"
"T20100006482","278835","6798"
"T20100006504","84","5404"
"T20100006535","35668","7042"
"T20100006562","732","6029"
"T20100006565","29386","9497"
"T20100006606","40863","5620"
"T20100006681","231483","6696"
"T20100006699","29908","8616"
"T20100006740","39785","5546"
"T20100006766","72946","1296"
"T20100006822","36230","9612"
"T20100006828","38790","9573"
"T20100006841","278618","8791"
"T20100006862","38006","9459"
"T20100006876","46616","9678"
"T20100006936","44366","101366"
"T20100006981","40500","5730"
"T20100007014","1013","7133"
"T20100007074","41151","9958"
"T20100007121","43286","6991"
"T20100007124","230835","4183"
"T20100007149","39561","5445"
"T20100007190","235490","6405"
"T20100007270","39785","5546"
"T20100007342","37838","9480"
"T20100007344","40905","5589"
"T20100007353","223827","7851"
"T20100007399","35320","7284"
"T20100007539","48463","101247"
"T20100007563","39715","5253"
"T20100007569","42085","9200"
"T20100007573","233889","8782"
"T20100007590","30110","4085"
"T20100007676","44081","7532"
"T20100007678","1246","9385"
"T20100007717","43806","5385"
"T20100007726","1254","4195"
"T20100007727","43081","6643"
"T20100007739","49188","1286"
"T20100007745","41261","103324"
"T20100007746","39474","5491"
"T20100007755","221983","8750"
"T20100007762","231006","9298"
"T20100007773","45553","9383"
"T20100007825","57530","5920"
"T20100007857","84","5404"
"T20100007892","227518","3089"
"T20100007949","35631","6966"
"T20100008043","230961","9921"
"T20100008068","10986","6947"
"T20100008070","43035","6784"
"T20100008156","29517","9546"
"T20100008160","61822","8873"
"T20100008176","29486","9261"
"T20100008219","12930","9926"
"T20100008248","227899","6056"
"T20100008310","53359","2317"
"T20100008381","44484","9091"
"T20100008409","52494","1024"
"T20100008495","44827","9147"
"T20100008550","229919","6855"
"T20100008553","66459","5558"
"T20100008559","11205","7046"
"T20100008719","10592","1000"
"T20100008744","35345","6889"
"T20100008852","57290","3160"
"T20100008875","52225","1264"
"T20100008991","24378","7069"
"T20100008999","43033","6772"
"T20100009030","58066","8904"
"T20100009053","39802","5535"
"T20100009057","57101","9571"
"T20100009105","38694","8724"
"T20100009133","39785","5546"
"T20100009173","42659","6497"
"T20100009181","37666","5639"
"T20100009193","231052","6834"
"T20100009220","50643","8011"
"T20100009261","37911","9436"
"T20100009262","55406","2007"
"T20100009268","680","101376"
"T20100009340","38938","5525"
"T20100009394","49202","1361"
"T20100009403","36230","9612"
"T20100009413","43470","7280"
"T20100009465","29979","4186"
"T20100009474","36093","100512"
"T20100009488","627","5612"
"T20100009538","239506","4230"
"T20100009541","29887","1002"
"T20100009546","43872","7253"
"T20100009546","43872","7254"
"T20100009582","35714","9430"
"T20100009618","84","5404"
"T20100009678","35537","6058"
"T20100009682","44401","9152"
"T20100009760","39708","5338"
"T20100009794","44365","103325"
"T20100009886","673","6142"
"T20100009932","50427","1008"
"T20100009934","52860","2380"
"T20100009963","19433","103100"
"T20100009972","42878","6620"
"T20100009981","67543","5830"
"T20100010074","38541","9761"
"T20100010119","29726","6880"
"T20100010227","37600","9844"
"T20100010238","84","5404"
"T20100010319","33702","5907"
"T20100010333","49840","7697"
"T20100010337","35862","8869"
"T20100010396","29796","9116"
"T20100010400","53345","8013"
"T20100010430","279183","9073"
"T20100010454","225644","9044"
"T20100010478","51131","3164"
"T20100010506","46519","5719"
"T20100010511","36321","6597"
"T20100010522","231219","100082"
"T20100010527","10412","5184"
"T20100010541","41037","5908"
"T20100010559","231222","7551"
"T20100010575","42026","6439"
"T20100010611","43282","6977"
"T20100010624","56000","9652"
"T20100010657","32692","6354"
"T20100010739","29384","6503"
"T20100010834","29486","9261"
"T20100010862","38220","8685"
"T20100010891","55376","2378"
"T20100010911","234609","6329"
"T20100010912","37855","9253"
"T20100010981","231563","9715"
"T20100010994","35470","8938"
"T20100011116","40816","5597"
"T20100011187","39605","5466"
"T20100011220","232134","7590"
"T20100011222","231516","6744"
"T20100011242","39267","5408"
"T20100011314","55876","6131"
"T20100011320","72946","1296"
"T20100011359","55539","9717"
"T20100011378","29816","9426"
"T20100011383","39474","5491"
"T20100011401","341923","6864"
"T20100011424","231587","8519"
"T20100011440","30002","6402"
"T20100011466","41896","5955"
"T20100011482","231646","9137"
"T20100011516","29796","9116"
"T20100011527","231660","6564"
"T20100011532","29887","1002"
"T20100011547","46033","6320"
"T20100011626","37600","9844"
"T20100011635","231697","3015"
"T20100011667","29506","5043"
"T20100011691","66950","5666"
"T20100011696","29945","7723"
"T20100011753","231733","6515"
"T20100011794","29887","1002"
"T20100011799","41941","5941"
"T20100011817","42015","6425"
"T20100011827","37105","6946"
"T20100011835","38244","5124"
"T20100011949","234393","1276"
"T20100011963","42590","6582"
"T20100012006","37592","9826"
"T20100012135","57471","9710"
"T20100012210","10412","5184"
"T20100012223","56250","6813"
"T20100012277","917","7235"
"T20100012293","34398","9678"
"T20100012294","29694","6796"
"T20100012298","231798","3021"
"T20100012299","52933","2398"
"T20100012305","231732","9582"
"T20100012306","46460","101207"
"T20100012369","42337","6564"
"T20100012463","19446","4246"
"T20100012531","36798","9775"
"T20100012543","45675","9983"
"T20100012584","36796","6918"
"T20100012591","221437","8777"
"T20100012597","35643","7413"
"T20100012627","35812","4192"
"T20100012664","36210","9572"
"T20100012793","29746","6961"
"T20100012820","878","6870"
"T20100012830","20827","1251"
"T20100012902","71047","6968"
"T20100012916","39465","5490"
"T20100012919","43367","1022"
"T20100012953","67377","5798"
"T20100012979","61279","8673"
"T20100013018","627","5612"
"T20100013035","69692","6462"
"T20100013043","44630","4212"
"T20100013075","39558","5448"
"T20100013160","54089","6465"
"T20100013197","40870","5610"
"T20100013207","29746","6961"
"T20100013244","44945","9401"
"T20100013449","51639","4210"
"T20100013605","37158","9673"
"T20100013758","44484","9091"
"T20100013830","47248","1001"
"T20100013830","47248","9578"
"T20100013843","795","6354"
"T20100013860","52494","1024"
"T20100013864","39748","5232"
"T20100013882","39668","5393"
"T20100013913","19418","4164"
"T20100013926","47705","1027"
"T20100013953","39668","5393"
"T20100013960","232095","6873"
"T20100013985","52195","1235"
"T20100013989","514","5430"
"T20100014030","40500","5730"
"T20100014097","43895","7193"
"T20100014129","36589","7230"
"T20100014155","35308","9579"
"T20100014173","37855","9253"
"T20100014175","44458","9173"
"T20100014209","35431","1016"
"T20100014209","35431","5140"
"T20100014301","1013","7133"
"T20100014321","44842","9022"
"T20100014347","37890","9257"
"T20100014365","51624","4200"
"T20100014375","43567","7430"
"T20100014390","29771","7282"
"T20100014426","119","9806"
"T20100014429","260","103330"
"T20100014486","56266","9251"
"T20100014491","29395","9011"
"T20100014524","231990","7425"
"T20100014537","732","6029"
"T20100014548","35744","8726"
"T20100014565","41832","6239"
"T20100014584","29700","6848"
"T20100014673","36448","6968"
"T20100014683","44303","9879"
"T20100014770","38329","5084"
"T20100014798","37833","9450"
"T20100014844","43632","6987"
"T20100014986","40934","5669"
"T20100015023","232202","102013"
"T20100015035","36398","100829"
"T20100015044","892","6962"
"T20100015086","36798","9775"
"T20100015170","29978","4185"
"T20100015174","38268","8753"
"T20100015177","35862","8869"
"T20100015183","232070","9471"
"T20100015225","38785","9538"
"T20100015246","1188","9217"
"T20100015261","58134","2005"
"T20100015271","232102","9816"
"T20100015299","38283","100151"
"T20100015335","44382","9950"
"T20100015376","50094","7766"
"T20100015402","919","7233"
"T20100015455","57029","5675"
"T20100015503","39227","5435"
"T20100015524","43707","8544"
"T20100015525","33702","5907"
"T20100015581","40894","5731"
"T20100015609","890","6920"
"T20100015626","66724","5619"
"T20100015725","65469","5360"
"T20100015806","57846","6853"
"T20100015829","85","1005"
"T20100015944","50121","7782"
"T20100015983","46554","9000"
"T20100015991","233797","9569"
"T20100016071","41650","100046"
"T20100016071","41650","100497"
"T20100016071","41650","100498"
"T20100016104","39785","5546"
"T20100016178","67813","9887"
"T20100016201","36950","8889"
"T20100016273","39826","1018"
"T20100016287","38486","5067"
"T20100016321","55536","5177"
"T20100016366","231541","4116"
"T20100016367","37725","8888"
"T20100016371","45317","9283"
"T20100016394","36160","7278"
"T20100016435","39320","5514"
"T20100016449","37911","9436"
"T20100016486","81","6301"
"T20100016507","43634","6902"
"T20100016637","42658","6571"
"T20100016649","41558","6116"
"T20100016660","38270","8746"
"T20100016664","29425","9710"
"T20100016701","46152","7383"
"T20100016708","51416","4091"
"T20100016740","51782","4290"
"T20100016747","1013","7133"
"T20100016773","40961","5587"
"T20100016845","50179","7811"
"T20100016903","11835","6808"
"T20100016981","35673","9041"
"T20100017011","52992","2409"
"T20100017022","934","7270"
"T20100017039","45062","3097"
"T20100017065","46452","8816"
"T20100017075","50179","7811"
"T20100017165","461","9686"
"T20100017201","35526","5599"
"T20100017204","46060","5925"
"T20100017337","40612","5763"
"T20100017352","52110","1193"
"T20100017413","35690","1195"
"T20100017418","37962","9268"
"T20100017444","673","6142"
"T20100017456","45974","5789"
"T20100017483","10893","7605"
"T20100017541","38289","5063"
"T20100017551","49881","7707"
"T20100017580","36519","7276"
"T20100017593","53680","6515"
"T20100017659","233074","102461"
"T20100017709","57661","7800"
"T20100017723","29672","6258"
"T20100017727","15316","4417"
"T20100017771","233099","6597"
"T20100017878","56740","9976"
"T20100017896","1013","7133"
"T20100017964","55791","6593"
"T20100017966","50676","100556"
"T20100017986","65910","101606"
"T20100017999","233033","101038"
"T20100018046","40576","5823"
"T20100018058","676","8731"
"T20100018075","40329","5877"
"T20100018095","45825","100462"
"T20100018119","44621","9132"
"T20100018210","64715","5231"
"T20100018231","232202","102013"
"T20100018249","55090","7705"
"T20100018279","72894","7431"
"T20100018308","38482","5073"
"T20100018354","45189","8867"
"T20100018418","36735","101752"
"T20100018491","22519","103319"
"T20100018502","44383","9956"
"T20100018522","45281","9321"
"T20100018529","10592","1000"
"T20100018545","29429","9733"
"T20100018568","44222","8634"
"T20100018595","24502","1014"
"T20100018597","57280","3037"
"T20100018646","35662","8609"
"T20100018653","58925","3083"
"T20100018690","224287","6743"
"T20100018703","36796","6918"
"T20100018730","54679","7863"
"T20100018793","36291","9621"
"T20100018800","41889","6139"
"T20100018845","29908","8616"
"T20100018863","30031","102503"
"T20100018879","51642","4211"
"T20100018910","36862","9769"
"T20100018917","38241","8708"
"T20100018935","899","7153"
"T20100018939","44345","9925"
"T20100018957","552","103332"
"T20100019008","49680","7621"
"T20100019136","45881","1030"
"T20100019173","44630","4212"
"T20100019195","236809","100688"
"T20100019334","52536","100858"
"T20100019334","52536","100859"
"T20100019334","52536","102412"
"T20100019376","55354","6548"
"T20100019396","68281","6013"
"T20100019426","46136","9568"
"T20100019443","52773","2296"
"T20100019444","36506","9899"
"T20100019467","29491","9264"
"T20100019526","39853","5285"
"T20100019581","33759","6044"
"T20100019607","84","5404"
"T20100019636","49151","3108"
"T20100019640","65159","100189"
"T20100019678","37962","9268"
"T20100019769","35714","9430"
"T20100019786","39785","5546"
"T20100019803","44245","8590"
"T20100019818","233193","102557"
"T20100019921","51561","4173"
"T20100019992","233297","9243"
"T20100020034","35673","9041"
"T20100020041","38198","8837"
"T20100020053","46035","5149"
"T20100020067","232095","6873"
"T20100020124","19317","4010"
"T20100020143","37962","9268"
"T20100020173","40849","5626"
"T20100020181","35510","5680"
"T20100020212","43857","7150"
"T20100020236","43242","102495"
"T20100020292","233735","6364"
"T20100020310","233423","1128"
"T20100020359","635","5681"
"T20100020386","233626","6153"
"T20100020387","38052","9278"
"T20100020398","43107","6857"
"T20100020448","57573","6360"
"T20100020468","234950","7954"
"T20100020516","35622","6668"
"T20100020523","234072","5996"
"T20100020625","233553","5364"
"T20100020631","39273","5457"
"T20100020670","627","5612"
"T20100020714","41936","6056"
"T20100020721","37980","9270"
"T20100020724","36817","6391"
"T20100020750","45985","7754"
"T20100020803","40484","8992"
"T20100020807","37362","8898"
"T20100020877","55528","9883"
"T20100021004","627","5612"
"T20100021018","34290","8851"
"T20100021035","38289","5063"
"T20100021062","514","5430"
"T20100021237","43287","7003"
"T20100021313","233638","8012"
"T20100021335","225644","9044"
"T20100021395","54453","9737"
"T20100021404","44301","9845"
"T20100021409","39223","5536"
"T20100021418","37597","9830"
"T20100021487","19365","4095"
"T20100021517","35346","9808"
"T20100021525","55536","5177"
"T20100021583","40684","9197"
"T20100021696","71621","7232"
"T20100021718","29425","9710"
"T20100021756","38206","8870"
"T20100021773","35592","6500"
"T20100021775","57918","5998"
"T20100021813","41910","6076"
"T20100021814","424","5104"
"T20100021945","36210","9572"
"T20100021977","71027","6959"
"T20100021980","41864","6166"
"T20100022021","43567","7430"
"T20100022061","43287","7003"
"T20100022177","52722","2227"
"T20100022206","37175","9755"
"T20100022221","234416","8901"
"T20100022247","39844","5417"
"T20100022272","47029","9687"
"T20100022370","234079","101561"
"T20100022374","35824","103336"
"T20100022398","40919","5783"
"T20100022414","39774","5307"
"T20100022474","35841","2317"
"T20100022533","252852","8830"
"T20100022567","51610","4191"
"T20100022591","57221","9344"
"T20100022596","233735","6364"
"T20100022601","41148","9945"
"T20100022640","36737","6517"
"T20100022645","55362","1165"
"T20100022652","22473","2216"
"T20100022824","41964","6080"
"T20100022856","29887","1002"
"T20100022867","58235","2029"
"T20100022877","119","9806"
"T20100022895","37063","5948"
"T20100022903","40919","5783"
"T20100022908","793","1000"
"T20100022927","45830","7712"
"T20100022958","234955","9707"
"T20100023014","44382","9950"
"T20100023110","39794","5541"
"T20100023259","42815","6803"
"T20100023260","38321","5195"
"T20100023379","43837","6474"
"T20100023471","35484","9847"
"T20100023522","44636","9223"
"T20100023552","39785","5546"
"T20100023578","234790","1266"
"T20100023603","29378","5074"
"T20100023625","235290","7471"
"T20100023647","48362","7448"
"T20100023677","29421","8877"
"T20100023687","37214","9747"
"T20100023688","39668","5393"
"T20100023727","234559","2433"
"T20100023826","47128","103317"
"T20100023845","235256","9426"
"T20100023894","41563","102129"
"T20100023923","29578","5299"
"T20100023937","29851","5870"
"T20100023975","36307","8795"
"T20100024098","38755","8752"
"T20100024120","29396","100875"
"T20100024144","37583","9783"
"T20100024160","892","6962"
"T20100024175","40789","5788"
"T20100024180","552","103332"
"T20100024189","236467","2418"
"T20100024242","43935","103317"
"T20100024336","41861","5982"
"T20100024368","52926","2396"
"T20100024406","59766","4224"
"T20100024466","40888","5727"
"T20100024479","50226","7844"
"T20100024499","235882","7349"
"T20100024544","44938","9263"
"T20100024559","15430","7821"
"T20100024591","37297","9214"
"T20100024635","35714","9430"
"T20100024642","57753","2309"
"T20100024645","39035","5308"
"T20100024697","1322","8814"
"T20100024728","234127","7505"
"T20100024782","34398","9678"
"T20100024783","234069","7767"
"T20100024811","1131","7586"
"T20100024828","32435","5955"
"T20100024847","40826","5801"
"T20100024853","49818","7688"
"T20100024898","35342","9520"
"T20100024945","35812","4192"
"T20100024966","29387","9715"
"T20100024969","234794","3210"
"T20100024989","285","8976"
"T20100025023","69135","6252"
"T20100025086","10592","1000"
"T20100025093","43517","7301"
"T20100025107","278486","9975"
"T20100025133","42815","6803"
"T20100025143","40123","9895"
"T20100025155","38329","5084"
"T20100025191","43900","7221"
"T20100025266","16155","7837"
"T20100025416","36997","101890"
"T20100025427","28872","6868"
"T20100025451","237945","4276"
"T20100025452","840","6856"
"T20100025460","39785","5546"
"T20100025521","51416","4091"
"T20100025571","42744","6628"
"T20100025574","29765","7220"
"T20100025623","237022","6479"
"T20100025665","43259","6907"
"T20100025679","37378","8815"
"T20100025708","732","6029"
"T20100025752","907","7245"
"T20100025885","43973","7470"
"T20100025989","45553","9383"
"T20100025997","39267","5408"
"T20100026111","36782","6943"
"T20100026175","35641","7300"
"T20100026199","38477","5066"
"T20100026250","44317","9995"
"T20100026282","323","102169"
"T20100026387","37367","9900"
"T20100026436","36651","6949"
"T20100026506","29748","7033"
"T20100026535","29739","7324"
"T20100026543","68179","5987"
"T20100026669","19418","4164"
"T20100026802","36307","8795"
"T20100026803","70828","6838"
"T20100026877","599","5695"
"T20100026892","221437","8777"
"T20100026930","46127","9491"
"T20100026988","57359","8821"
"T20100027014","38437","5099"
"T20100027051","36160","7278"
"T20100027054","38420","5203"
"T20100027072","47892","9926"
"T20100027089","64988","5266"
"T20100027120","54138","9079"
"T20100027137","285","8976"
"T20100027154","234871","8927"
"T20100027177","91640","5695"
"T20100027180","793","1000"
"T20100027210","65530","5369"
"T20100027264","234758","7540"
"T20100027276","228078","2423"
"T20100027289","39298","5559"
"T20100027324","795","6354"
"T20100027344","47884","5737"
"T20100027349","222523","5741"
"T20100027391","72236","1195"
"T20100027477","64165","9409"
"T20100027481","39584","5470"
"T20100027510","51348","4022"
"T20100027529","46851","100141"
"T20100027556","39454","5489"
"T20100027641","41116","9926"
"T20100027643","38437","5099"
"T20100027669","35539","6177"
"T20100027734","39338","5507"
"T20100027737","42744","6628"
"T20100027754","29384","6503"
"T20100027772","233700","9987"
"T20100027960","48220","9159"
"T20100027962","732","6029"
"T20100027972","53332","2410"
"T20100027988","285887","4214"
"T20100028045","43875","7242"
"T20100028083","259302","3142"
"T20100028096","1015","7062"
"T20100028112","52540","102411"
"T20100028202","36160","7278"
"T20100028307","49211","1301"
"T20100028317","36945","9708"
"T20100028338","43872","7253"
"T20100028338","43872","7254"
"T20100028347","35714","9430"
"T20100028378","925","9238"
"T20100028395","49281","2373"
"T20100028398","29746","6961"
"T20100028428","35627","6975"
"T20100028451","39363","5436"
"T20100028455","48329","5325"
"T20100028503","37019","7008"
"T20100028561","35636","1022"
"T20100028592","48134","103234"
"T20100028603","39580","9088"
"T20100028685","224410","5530"
"T20100028697","36083","9500"
"T20100028758","57168","5039"
"T20100028761","223225","8654"
"T20100028767","40093","9858"
"T20100028791","234808","7110"
"T20100028804","55790","100555"
"T20100028878","42147","6569"
"T20100028927","48173","8603"
"T20100028927","48173","8606"
"T20100029029","42474","6411"
"T20100029046","40194","8986"
"T20100029097","40140","9904"
"T20100029105","49772","102055"
"T20100029178","38315","8811"
"T20100029192","43641","7036"
"T20100029212","43286","6991"
"T20100029214","36980","100182"
"T20100029227","43053","9226"
"T20100029291","57306","4188"
"T20100029293","29576","5278"
"T20100029316","51561","4173"
"T20100029340","52121","1203"
"T20100029351","52857","2373"
"T20100029354","36969","5936"
"T20100029375","37962","9268"
"T20100029383","39580","9088"
"T20100029397","43242","102495"
"T20100029413","44938","9263"
"T20100029431","40894","5731"
"T20100029448","39281","5543"
"T20100029538","43620","6919"
"T20100029563","29851","5870"
"T20100029663","46519","5719"
"T20100029690","128025","9514"
"T20100029718","37697","5719"
"T20100029784","14474","6939"
"T20100029800","43279","6976"
"T20100029910","51610","4191"
"T20100029972","35345","6889"
"T20100030009","899","7153"
"T20100030064","29920","7844"
"T20100030086","50027","7742"
"T20100030104","29748","7033"
"T20100030217","46322","7858"
"T20100030247","10475","1028"
"T20100030253","41261","103324"
"T20100030321","38424","5189"
"T20100030388","40919","5783"
"T20100030390","91659","5693"
"T20100030427","57065","9451"
"T20100030496","84","5404"
"T20100030547","38241","8708"
"T20100030635","46881","7065"
"T20100030677","35482","5342"
"T20100030720","41910","6076"
"T20100030805","235110","6318"
"T20100030806","676","8731"
"T20100030839","51607","101694"
"T20100030923","1248","8830"
"T20100031000","19431","4182"
"T20100031065","30011","8021"
"T20100031089","40888","5727"
"T20100031124","39801","5538"
"T20100031130","29364","9493"
"T20100031161","28872","6868"
"T20100031167","235988","9882"
"T20100031264","34518","9259"
"T20100031396","43632","6987"
"T20100031412","40875","5600"
"T20100031436","234393","1276"
"T20100031502","41927","6021"
"T20100031504","235245","9157"
"T20100031511","49209","1243"
"T20100031684","35641","7300"
"T20100031709","47700","7045"
"T20100031729","44382","9950"
"T20100031778","50218","7830"
"T20100031787","38265","8769"
"T20100031880","39425","5482"
"T20100031939","54325","5819"
"T20100031952","35465","5472"
"T20100031968","64715","5231"
"T20100031970","504","5504"
"T20100032033","277173","7453"
"T20100032080","35673","9041"
"T20100032129","43152","6692"
"T20100032163","41865","5985"
"T20100032209","14474","6939"
"T20100032241","36552","5981"
"T20100032296","36785","100136"
"T20100032303","1254","4195"
"T20100032325","41935","6026"
"T20100032413","59705","4193"
"T20100032414","35315","6779"
"T20100032417","43287","7003"
"T20100032433","39688","100769"
"T20100032441","54916","100873"
"T20100032482","1246","9385"
"T20100032489","36994","9751"
"T20100032518","43403","103320"
"T20100032566","42321","6438"
"T20100032597","235831","2437"
"T20100032696","40137","101269"
"T20100032711","50154","7800"
"T20100032723","235897","2184"
"T20100032730","57528","5909"
"T20100032748","84","5404"
"T20100032869","235876","5230"
"T20100032881","43549","7322"
"T20100033030","44460","9240"
"T20100033033","225644","9044"
"T20100033053","41640","6182"
"T20100033082","66687","5614"
"T20100033094","35860","6912"
"T20100033113","57918","5998"
"T20100033178","35304","9569"
"T20100033193","235942","7686"
"T20100033204","42802","6644"
"T20100033254","286131","2342"
"T20100033306","37081","8919"
"T20100033355","40894","5731"
"T20100033448","29725","6980"
"T20100033460","35408","9851"
"T20100033510","56495","100507"
"T20100033527","29799","103322"
"T20100033541","169","9602"
"T20100033564","49935","7716"
"T20100033636","43741","8804"
"T20100033644","38607","9656"
"T20100033664","228525","9045"
"T20100033676","33419","7749"
"T20100033802","39844","5417"
"T20100033816","49649","7608"
"T20100033980","41832","6239"
"T20100034031","39559","5498"
"T20100034063","36796","6918"
"T20100034074","29787","8660"
"T20100034085","36904","7092"
"T20100034089","41350","6347"
"T20100034095","222633","7494"
"T20100034129","278557","7136"
"T20100034150","29700","6848"
"T20100034162","246","9676"
"T20100034176","38499","9703"
"T20100034225","40904","5590"
"T20100034323","44465","7789"
"T20100034395","71262","101183"
"T20100034396","39273","5457"
"T20100034460","29773","7461"
"T20100034471","32247","5822"
"T20100034494","49997","7732"
"T20100034501","38578","9759"
"T20100034604","726","5990"
"T20100034773","726","5990"
"T20100034805","56250","6813"
"T20100034836","41376","6083"
"T20100034841","40612","5763"
"T20100034866","45906","9971"
"T20100034902","35262","7730"
"T20100034903","57471","9710"
"T20100034959","44242","8654"
"T20100034981","45756","7318"
"T20100034992","233875","6198"
"T20100035027","48815","9939"
"T20100035035","47193","6116"
"T20100035148","36663","8697"
"T20100035151","222064","8555"
"T20100035168","732","6029"
"T20100035204","35320","7284"
"T20100035226","37911","9436"
"T20100035240","46169","9696"
"T20100035285","795","6354"
"T20100035294","65299","5321"
"T20100035310","85","1005"
"T20100035319","1064","7578"
"T20100035339","32858","6812"
"T20100035381","239780","5501"
"T20100035394","43282","6977"
"T20100035418","38099","9293"
"T20100035419","42414","6487"
"T20100035420","69426","6341"
"T20100035437","599","5695"
"T20100035486","239284","8906"
"T20100035497","1318","9275"
"T20100035520","46893","102531"
"T20100035558","236311","8983"
"T20100035618","14474","6939"
"T20100035629","228602","5788"
"T20100035649","35936","9325"
"T20100035688","49007","3024"
"T20100035695","34518","9259"
"T20100035717","32012","5758"
"T20100035833","29387","9715"
"T20100035873","48501","6067"
"T20100035878","41363","6207"
"T20100035885","226619","5472"
"T20100035908","54913","5051"
"T20100035943","236115","8847"
"T20100035946","43854","7142"
"T20100035966","883","9196"
"T20100035978","41385","6216"
"T20100035992","72946","1296"
"T20100036009","29565","5510"
"T20100036079","238911","1010"
"T20100036083","55868","4087"
"T20100036236","57530","5920"
"T20100036321","67161","102091"
"T20100036353","236388","101733"
"T20100036367","45042","8690"
"T20100036465","329","5399"
"T20100036481","46322","7858"
"T20100036505","29796","9116"
"T20100036551","41469","6112"
"T20100036559","35345","6889"
"T20100036598","878","6870"
"T20100036611","42791","6729"
"T20100036654","57545","9979"
"T20100036702","29517","9546"
"T20100036718","169","9602"
"T20100036724","504","5504"
"T20100036726","236484","7111"
"T20100036735","234609","6329"
"T20100036787","54440","7671"
"T20100036792","38499","9703"
"T20100036821","44945","9401"
"T20100036896","42980","6640"
"T20100036944","52536","100858"
"T20100036944","52536","100859"
"T20100036944","52536","102412"
"T20100036968","29412","8805"
"T20100036975","57779","5571"
"T20100036986","29429","9733"
"T20100036988","40863","5620"
"T20100036996","29871","9321"
"T20100037015","51642","4211"
"T20100037018","169","9602"
"T20100037025","41640","6182"
"T20100037103","51416","4091"
"T20100037114","39853","5285"
"T20100037187","1311","8732"
"T20100037240","43028","6708"
"T20100037344","69378","6322"
"T20100037358","29787","8660"
"T20100037378","44912","9431"
"T20100037383","54466","1298"
"T20100037396","10893","7605"
"T20100037425","52060","1144"
"T20100037450","43872","7253"
"T20100037450","43872","7254"
"T20100037465","35737","7079"
"T20100037557","40724","5579"
"T20100037582","37583","9783"
"T20100037592","878","6870"
"T20100037633","298","8880"
"T20100037691","38329","5084"
"T20100037763","66966","5670"
"T20100037793","60757","101545"
"T20100037979","58068","103142"
"T20100038032","500","5524"
"T20100038070","236716","6232"
"T20100038114","35343","8778"
"T20100038131","236725","5836"
"T20100038147","43470","7280"
"T20100038209","41588","6133"
"T20100038216","51145","3180"
"T20100038238","1232","9068"
"T20100038249","50027","7742"
"T20100038270","36321","6597"
"T20100038299","37691","100507"
"T20100038316","52843","2356"
"T20100038317","228569","6034"
"T20100038352","43631","6965"
"T20100038406","36214","9594"
"T20100038421","54305","2296"
"T20100038458","43640","6983"
"T20100038462","19364","4094"
"T20100038520","29746","6961"
"T20100038552","48120","5526"
"T20100038556","230137","7287"
"T20100038652","236764","6049"
"T20100038655","41843","5958"
"T20100038655","41843","5962"
"T20100038669","40961","5587"
"T20100038681","35407","9838"
"T20100038685","236960","9572"
"T20100038736","236975","4219"
"T20100038754","39578","5442"
"T20100038766","43624","6945"
"T20100038828","236994","9572"
"T20100038848","38010","9276"
"T20100038942","1016","7177"
"T20100038955","46158","9785"
"T20100039001","43403","103320"
"T20100039005","52494","1024"
"T20100039008","38624","100190"
"T20100039052","29592","9867"
"T20100039090","57573","6360"
"T20100039096","48129","101015"
"T20100039176","39976","9015"
"T20100039190","38270","8746"
"T20100039209","53694","7817"
"T20100039213","29425","9710"
"T20100039214","43857","7150"
"T20100039218","504","5504"
"T20100039270","54048","9582"
"T20100039290","58066","8904"
"T20100039321","48683","7212"
"T20100039354","40123","9895"
