"ACCIDENT_NO","NODE_ID","COMPLEX_INT_NO"
"T20060008819","42819","6843"
"T20060008825","33879","1002"
"T20060008833","29372","9496"
"T20060008840","45228","9314"
"T20060008845","29836","9639"
"T20060008855","35622","6668"
"T20060008873","29746","6961"
"T20060008928","43641","7036"
"T20060008979","33702","5907"
"T20060008999","56191","9636"
"T20060009076","55585","4241"
"T20060009093","169","9602"
"T20060009105","85","1005"
"T20060009193","35323","5356"
"T20060009202","43923","7357"
"T20060009206","53359","2317"
"T20060009213","29372","9496"
"T20060009263","29396","100875"
"T20060009266","55588","9095"
"T20060009294","55589","5179"
"T20060009328","42155","6491"
"T20060009329","81","6301"
"T20060009343","43631","6965"
"T20060009362","49343","3030"
"T20060009419","35484","9847"
"T20060009449","48501","6067"
"T20060009463","41464","6025"
"T20060009486","37295","9643"
"T20060009518","41832","6239"
"T20060009574","53892","7667"
"T20060009586","45642","9463"
"T20060009679","41837","6300"
"T20060009687","37855","9253"
"T20060009714","38475","5060"
"T20060009745","50635","8007"
"T20060009825","36321","6597"
"T20060009830","44633","9239"
"T20060009854","534","5396"
"T20060009892","37793","9277"
"T20060009901","34518","9259"
"T20060009964","38258","8733"
"T20060009966","42919","6625"
"T20060009973","40803","5605"
"T20060009996","44382","9950"
"T20060010003","249","9716"
"T20060010032","38437","5099"
"T20060010035","40914","5910"
"T20060010043","39774","5307"
"T20060010148","35304","9569"
"T20060010152","44375","9946"
"T20060010165","35631","6966"
"T20060010258","19433","103100"
"T20060010279","46905","5210"
"T20060010280","32859","6814"
"T20060010298","192931","6575"
"T20060010304","48196","7031"
"T20060010349","40697","5816"
"T20060010369","41936","6056"
"T20060010387","203649","8818"
"T20060010406","55478","5254"
"T20060010413","36651","6949"
"T20060010425","41640","6182"
"T20060010434","39192","5252"
"T20060010439","39267","5408"
"T20060010508","41953","6081"
"T20060010511","37585","9807"
"T20060010522","40914","5910"
"T20060010532","39793","5544"
"T20060010547","43920","7268"
"T20060010575","55599","1305"
"T20060010585","29386","9497"
"T20060010619","11590","9808"
"T20060010639","53184","1001"
"T20060010639","53184","9585"
"T20060010658","39668","5393"
"T20060010681","35724","9919"
"T20060010722","35438","8901"
"T20060010738","39775","5304"
"T20060010767","42197","6549"
"T20060010782","42746","6610"
"T20060010827","22","9553"
"T20060010855","45622","9353"
"T20060010895","40030","9784"
"T20060010944","15413","7764"
"T20060011024","43436","7308"
"T20060011091","43792","5198"
"T20060011102","35665","10010"
"T20060011164","57290","3160"
"T20060011171","41871","6082"
"T20060011184","49684","1003"
"T20060011190","57354","8730"
"T20060011201","37693","5701"
"T20060011228","461","9686"
"T20060011238","43923","7357"
"T20060011263","47464","7689"
"T20060011266","38329","5084"
"T20060011303","84","5404"
"T20060011315","52540","102411"
"T20060011407","37063","5948"
"T20060011412","54453","9737"
"T20060011452","44461","7718"
"T20060011462","29517","9546"
"T20060011473","36138","6703"
"T20060011475","35627","6975"
"T20060011482","57539","6041"
"T20060011496","44382","9950"
"T20060011500","33702","5907"
"T20060011547","478","5381"
"T20060011567","40923","5790"
"T20060011572","48329","5325"
"T20060011663","793","1000"
"T20060011664","40501","9026"
"T20060011672","424","5104"
"T20060011699","35681","4090"
"T20060011708","40961","5587"
"T20060011721","51107","3157"
"T20060011722","29491","9264"
"T20060011735","37691","100507"
"T20060011769","868","6801"
"T20060011773","30019","7224"
"T20060011788","41876","6132"
"T20060011858","44620","100526"
"T20060011858","44620","102466"
"T20060011858","44620","103113"
"T20060011885","40410","5613"
"T20060011888","41770","6340"
"T20060011959","40961","5587"
"T20060011960","43752","8729"
"T20060011973","52848","2363"
"T20060012012","35532","102339"
"T20060012196","42098","6466"
"T20060012205","792","6402"
"T20060012234","41991","6261"
"T20060012252","35683","8926"
"T20060012267","41843","5958"
"T20060012267","41843","5962"
"T20060012334","29386","9497"
"T20060012379","36506","9899"
"T20060012393","38688","9596"
"T20060012402","438","5029"
"T20060012415","41693","6158"
"T20060012416","36593","5044"
"T20060012444","792","6402"
"T20060012487","42157","6480"
"T20060012523","249","9716"
"T20060012537","40500","5730"
"T20060012560","37788","5660"
"T20060012566","36160","7278"
"T20060012629","38442","5079"
"T20060012675","36321","6597"
"T20060012822","35714","9430"
"T20060012832","29386","9497"
"T20060012888","29836","9639"
"T20060012900","41879","6344"
"T20060012924","41910","6076"
"T20060012995","36150","6185"
"T20060013037","17632","3146"
"T20060013197","35705","8839"
"T20060013204","38494","5040"
"T20060013228","43920","7268"
"T20060013345","55617","3170"
"T20060013348","37179","9755"
"T20060013375","48334","7644"
"T20060013468","55623","9985"
"T20060013476","36208","9557"
"T20060013505","38291","5096"
"T20060013529","793","1000"
"T20060013676","74261","5074"
"T20060013752","36210","9572"
"T20060013754","36448","6968"
"T20060013830","55849","8004"
"T20060013846","53216","9722"
